fall_id,ist_klasse,prognose_klasse,ist_technik,prognose_technik,confusion_zelle,source_kind,source_ref
S6-FALL-028,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-029,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-030,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-031,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-032,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-033,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-034,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-035,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-036,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-037,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-038,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-039,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-040,TECHNIK,NICHT_TECHNIK,1,0,FN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-041,NICHT_TECHNIK,TECHNIK,0,1,FP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-042,NICHT_TECHNIK,TECHNIK,0,1,FP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-043,NICHT_TECHNIK,TECHNIK,0,1,FP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-044,NICHT_TECHNIK,TECHNIK,0,1,FP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-045,NICHT_TECHNIK,TECHNIK,0,1,FP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-046,NICHT_TECHNIK,TECHNIK,0,1,FP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-047,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-048,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-049,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-050,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-051,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-052,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-053,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-054,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-055,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-056,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-057,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-058,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-059,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-060,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-061,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-062,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-063,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-064,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-065,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-066,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-067,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-068,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-069,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-070,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-071,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-072,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-073,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-074,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-075,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-076,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-077,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-078,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-079,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-080,NICHT_TECHNIK,NICHT_TECHNIK,0,0,TN,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
