antwort_id,item_id,korrekt,confidence,confidence_gruppe,source_kind,source_ref
S2-ANT-035,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-036,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-037,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-038,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-039,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-040,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-041,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-042,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-043,S2-Q01,1,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-044,S2-Q01,0,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-045,S2-Q01,0,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-046,S2-Q01,0,4,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-047,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-048,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-049,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-050,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-051,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-052,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-053,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-054,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-055,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-056,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-057,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-058,S2-Q01,1,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-059,S2-Q01,0,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-060,S2-Q01,0,5,hoch,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
